Category,ProductName,Total_Quantity_Sold,Total_Sales
Home Theater System,Litware Home Theater System 2.1 Channel E212 Brown,7,2099.2999999999997
Home Theater System,Litware Home Theater System 4.1 Channel M411 Silver,7,4193.0
Lamps,Adventure Works Desk Lamp E1200 Grey,7,209.93
Lamps,Adventure Works Wall Lamp E2150 Grey,7,839.93
Lamps,Adventure Works Wall Lamp E3150 Blue,7,713.93
Lamps,Litware Chandelier M8015 Blue,7,1879.5
Lamps,Litware Desk Lamp E1020 Black,7,209.93
Lamps,Litware Floor Lamp M2015 Silver,7,2373.0
Lamps,Litware Floor Lamp X1015 Grey,7,4451.93
Lamps,Litware Floor Lamp X1015 Silver,7,4451.93
Lamps,Proseware Wall Lamp E0315 Silver,7,713.93
Lamps,WWI Floor Lamp X115 White,7,4451.93
Refrigerators,Litware Refrigerator 24.7CuFt X980 White,7,22399.93
Washers & Dryers,Contoso Washer & Dryer 25.5in M255 Pink,7,13923.0
Washers & Dryers,Litware Washer & Dryer 25.5in M350 Blue,7,13923.0
Air Conditioners,Contoso Air conditioner 10000BTU M0490 Blue,8,3439.92
Air Conditioners,Proseware Air conditioner 12000BTU M640 White,8,3679.919999999999
Car Video,SV Car Video LCD7 M7001 Silver,8,2632.0
Computers Accessories,Contoso Bright Light battery E20 Black,8,215.2
Computers Accessories,Contoso Optical Wheel OEM PS/2 Mouse E60 Black,8,104.0
Computers Accessories,Contoso Ultraportable Neoprene Sleeve E30 Yellow,8,124.8
Computers Accessories,Contoso Wireless Notebook Optical Mouse M35 Blue,8,239.6
Computers Accessories,SV USB Sync Charge Cable E700 Silver,8,15.92
Fans,Litware 18'' Adjustable Oscillating Pedestal Fan E301 White,8,294.64
Fans,Litware 20'' Box Fan E401 Yellow,8,207.92
Fans,Litware 80mm LED Dual PCI Slot Fan E1501 Red,8,247.92
Fans,Litware 92mm DBB Case Fan E1101 White,8,119.92
Home Theater System,Contoso Home Theater System 2.1 Channel E1220 Black,8,1592.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1540 Brown,8,4232.0
Home Theater System,Litware Home Theater System 2.1 Channel E210 Silver,8,2392.0
Lamps,Adventure Works Chandelier M6150 Silver,8,1839.92
Lamps,Adventure Works Wall Lamp E3150 White,8,815.9199999999998
Lamps,Litware Chandelier M6015 Black,8,1839.92
Lamps,Litware Desk Lamp E1030 Black,8,639.6
Lamps,Litware Floor Lamp M2015 Grey,8,2712.0
Lamps,Proseware Desk Lamp E0120 Grey,8,239.92
Lamps,Proseware Desk Lamp E0130 White,8,639.6
Lamps,Proseware Wall Lamp E0315 Grey,8,815.92
Lamps,WWI Desk Lamp E130 Black,8,639.6
Lamps,WWI Wall Lamp E215 Grey,8,959.92
Lamps,WWI Wall Lamp E215 Silver,8,959.92
Washers & Dryers,Contoso Washer & Dryer 24in M240 Blue,8,14544.0
Washers & Dryers,Litware Washer & Dryer 27in L420 Silver,8,21216.0
Washers & Dryers,NT Washer & Dryer 21in E2100 White,8,12799.2
Air Conditioners,Contoso Air conditioner 6000BTU E0180 Silver,9,1799.91
Air Conditioners,Proseware Air conditioner 6000BTU E180 Red,9,1799.91
Air Conditioners,Proseware Air conditioner 8000BTU M320 White,9,3599.91
Coffee Machines,Adventure Works Coffee Maker Super-Auto 12C X125 Grey,9,14850.0
Coffee Machines,Contoso Coffee Maker 5C E0900 Black,9,1341.0
Computers Accessories,Contoso USB Wave Multi-Media Keyboard M901 Gold,9,233.09999999999997
Fans,"Litware 16"" White Oscillating Stand Fan E701 Silver",9,261.81
Fans,Litware 17'' Oscillating Pedestal Fan M125 Pink,9,1890.0
Fans,Litware 180 CFM Vertical Discharge Fan X450 Blue,9,1940.58
Fans,Litware 80mm LED Dual PCI Slot Fan E1501 Pink,9,278.90999999999997
Fans,Litware 92mm DBB Case Fan E1101 Grey,9,134.91
Home Theater System,Contoso Home Theater System 2.1 Channel E1200 White,9,2691.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1500 Black,9,3861.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1510 Black,9,4401.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1530 Silver,9,3591.0
Home Theater System,Litware Home Theater System 4.1 Channel M411 Black,9,5391.0
Home Theater System,Litware Home Theater System 4.1 Channel M411 Brown,9,5391.0
Lamps,Litware Chandelier M6015 Silver,9,2069.91
Lamps,Litware Floor Lamp M2015 Black,9,3051.0
Lamps,Litware Wall Lamp E2015 Black,9,1079.9099999999999
Lamps,Proseware Chandelier M0615 Black,9,2069.91
Lamps,Proseware Chandelier M0815 Grey,9,2416.5
Lamps,Proseware Chandelier M0815 Silver,9,2416.5
Lamps,WWI Desk Lamp E120 Grey,9,269.90999999999997
Lamps,WWI Floor Lamp X115 Grey,9,5723.91
Washers & Dryers,NT Washer & Dryer 15.5in E1550 Green,9,8999.1
Washers & Dryers,NT Washer & Dryer 25.5in M2550 Silver,9,17909.100000000002
Air Conditioners,Contoso Air conditioner 12000BTU M0640 White,10,4599.9
Air Conditioners,Contoso Air conditioner 6000BTU E0180 Blue,10,1999.9
Air Conditioners,Contoso Air conditioner 8000BTU M0320 White,10,3999.9
Air Conditioners,Proseware Air conditioner 5200BTU E100 White,10,1099.8999999999999
Car Video,SV Car Video LCD7 M7002 Black,10,3690.0
Computers Accessories,Contoso Bluetooth Notebook Mouse X305 Black,10,1500.0
Computers Accessories,Contoso Wireless Notebook Optical Mouse X205 Orange,10,1299.5
Computers Accessories,SV Keyboard E90 White,10,417.30000000000007
Computers Accessories,SV Rechargeable Bluetooth Notebook Mouse E80 Silver,10,599.9
Fans,Litware 120mm Blue LED Case Fan E901 Grey,10,99.9
Fans,Litware 180 CFM Vertical Discharge Fan X450 Black,10,2156.2
Fans,Litware Tower Fan E501 Yellow,10,399.90000000000003
Home Theater System,Contoso Home Theater System 2.1 Channel M1210 Silver,10,3290.0
Home Theater System,Litware Home Theater System 7.1 Channel X711 Black,10,11090.0
Lamps,Adventure Works Desk Lamp E1200 Silver,10,299.9
Lamps,Adventure Works Floor Lamp M2150 Grey,10,3390.0
Lamps,Adventure Works Wall Lamp E2150 Blue,10,1199.8999999999999
Lamps,Adventure Works Wall Lamp E3150 Black,10,1019.9
Lamps,Proseware Floor Lamp X0115 Silver,10,6359.9
Lamps,Proseware Floor Lamp X0115 White,10,6359.9
Lamps,Proseware Wall Lamp E0315 Blue,10,1019.8999999999999
Lamps,WWI Chandelier M615 Silver,10,2299.9
Lamps,WWI Chandelier M815 White,10,2685.0
Washers & Dryers,Contoso Washer & Dryer 15.5in E155 Blue,10,9990.0
Washers & Dryers,Contoso Washer & Dryer 24in M240 Red,10,18180.0
Washers & Dryers,Contoso Washer & Dryer 27in L270 Silver,10,26520.0
Washers & Dryers,Contoso Washer & Dryer 27in L270 White,10,26520.0
Washers & Dryers,Litware Washer & Dryer 21in E214 White,10,15990.0
Washers & Dryers,NT Washer & Dryer 21in E2100 Blue,10,15999.0
Air Conditioners,Contoso Air conditioner 25000BTU L1672 Silver,11,6995.89
Air Conditioners,Contoso Air conditioner 5200BTU E0100 Blue,11,1209.8899999999999
Air Conditioners,Contoso Air conditioner 6000BTU E0180 White,11,2199.8900000000003
Air Conditioners,Proseware Air conditioner 6000BTU E180 Silver,11,2199.8900000000003
Computers Accessories,Contoso Wireless Notebook Optical Mouse X205 Blue,11,1429.45
Fans,Litware Mobile Fan External USB Cooling Fan E601 Silver,11,361.79
Fans,Litware Mobile Fan External USB Cooling Fan E601 White,11,361.78999999999996
Fans,Litware Tower Fan E501 Silver,11,439.89
Home Theater System,Contoso Home Theater System 5.1 Channel M1500 White,11,4719.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1520 Brown,11,3729.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1520 Silver,11,3729.0
Home Theater System,Litware Home Theater System 4.1 Channel M413 Black,11,6039.0
Home Theater System,Litware Home Theater System 4.1 Channel M413 Brown,11,6039.0
Home Theater System,Litware Home Theater System 5.1 Channel M510 Brown,11,7029.0
Home Theater System,Litware Home Theater System 5.1 Channel M515 Brown,11,6259.0
Home Theater System,Litware Home Theater System 5.1 Channel M516 Brown,11,6369.0
Lamps,Adventure Works Chandelier M8150 Blue,11,2953.5
Lamps,Adventure Works Floor Lamp M2150 Silver,11,3729.0
Lamps,Adventure Works Floor Lamp X1150 White,11,6995.89
Lamps,Litware Chandelier M6015 Blue,11,2529.89
Lamps,Litware Chandelier M8015 Black,11,2953.5
Lamps,Proseware Floor Lamp M0215 White,11,3729.0
Lamps,Proseware Wall Lamp E0315 Black,11,1121.8899999999999
"Printers, Scanners & Fax",Proseware Laser Jet All in one X300 White,11,2409.0
Washers & Dryers,Contoso Washer & Dryer 25.5in M255 White,11,21879.0
Air Conditioners,Contoso Air conditioner 7000BTU E0260 White,12,3599.88
Air Conditioners,Contoso Air conditioner 8000BTU M0320 Blue,12,4799.879999999999
Air Conditioners,Proseware Air conditioner 5200BTU E100 Red,12,1319.8799999999999
Computers Accessories,Contoso ADSL Modem Splitter/Filter X 1 E100 Black,12,214.79999999999998
Computers Accessories,Contoso Notebook Peripheral Kit M69 Grey,12,198.0
Computers Accessories,Contoso Smart Battery M901 Black,12,138.0
Computers Accessories,SV Wireless LAN PCI Network Card Adapter E900 Black,12,1188.0
Fans,Litware 17'' Oscillating Pedestal Fan M125 Yellow,12,2520.0
Fans,Litware 18'' Oscillating Pedestal Fan M145 White,12,4800.0
Fans,Litware 20'' Box Fan E401 White,12,311.88
Fans,Litware 3-Speed Oscillating Blower Fan M115 White,12,887.8799999999999
Fans,Litware Desktop Wind Tower Oscillating Fan E1201 Black,12,359.88
Fans,Litware Mobile Fan External USB Cooling Fan E601 Black,12,394.68
Fans,Litware Mobile Fan External USB Cooling Fan E601 Pink,12,394.68
Fans,Litware USB Foam Fan E1301 White,12,239.88
Home Theater System,Contoso Home Theater System 2.1 Channel M1210 White,12,3948.0
Lamps,Adventure Works Wall Lamp E2150 White,12,1439.8799999999999
Lamps,Litware Desk Lamp E1030 Grey,12,959.4000000000001
Lamps,Proseware Floor Lamp X0115 Black,12,7631.88
Lamps,WWI Chandelier M815 Blue,12,3222.0
Lamps,WWI Desk Lamp E130 White,12,959.4
Microwaves,Fabrikam Microwave 1.6CuFt M1250 Red,12,2159.88
Refrigerators,Litware Refrigerator 1.7CuFt E120 Grey,12,1559.88
Refrigerators,Litware Refrigerator 3.2CuFt E160 White,12,3359.8799999999997
Washers & Dryers,Contoso Washer & Dryer 15.5in E155 Green,12,11988.0
Washers & Dryers,Contoso Washer & Dryer 15.5in E155 Red,12,11988.0
Washers & Dryers,Litware Washer & Dryer 25.5in M350 White,12,23868.0
Washers & Dryers,Litware Washer & Dryer 27in L420 Blue,12,31824.0
Air Conditioners,Contoso Air conditioner 12000BTU M0640 Blue,13,5979.870000000001
Air Conditioners,Contoso Air conditioner 12000BTU M0640 Red,13,5979.869999999999
Air Conditioners,Contoso Air conditioner 25000BTU L1672 Red,13,8267.869999999999
Air Conditioners,Contoso Air conditioner 5200BTU E0100 White,13,1429.87
Air Conditioners,Contoso Air conditioner 7000BTU E0260 Red,13,3899.870000000001
Computers Accessories,Contoso Laptop Keyboard X105 Silver,13,3001.7000000000003
Computers Accessories,Contoso Lens cap E80 Black,13,389.34999999999997
Computers Accessories,Contoso Reserve Pen - Tablet Pen E200 Gold,13,180.70000000000002
Fans,"Litware 14"" High Velocity Floor Fan E801 Pink",13,584.87
Fans,Litware 20'' Weather-Shield Performance Box Fan E1601 Orange,13,389.87
Home Theater System,Contoso Home Theater System 4.1 Channel M1400 Black,13,5317.0
Home Theater System,Litware Home Theater System 2.1 Channel E210 Black,13,3887.0
Home Theater System,Litware Home Theater System 2.1 Channel E210 Brown,13,3887.0
Home Theater System,Litware Home Theater System 4.1 Channel M410 Silver,13,7787.0
Home Theater System,Litware Home Theater System 5.1 Channel M511 Silver,13,9087.0
Home Theater System,Litware Home Theater System 7.1 Channel M710 Black,13,10387.0
Lamps,Adventure Works Desk Lamp E1200 Black,13,389.87
Lamps,Proseware Desk Lamp E0130 Silver,13,1039.35
Lamps,WWI Desk Lamp E130 Blue,13,1039.35
Lamps,WWI Floor Lamp M215 Blue,13,4407.0
Refrigerators,Litware Refrigerator 9.7CuFt M560 Red,13,6409.0
Washers & Dryers,Contoso Washer & Dryer 15.5in E155 Pink,13,12987.0
Washers & Dryers,Contoso Washer & Dryer 21in E210 Silver,13,20787.0
Washers & Dryers,Contoso Washer & Dryer 25.5in M255 Blue,13,25857.0
Washers & Dryers,Litware Washer & Dryer 21in E214 Green,13,20787.0
Washers & Dryers,Litware Washer & Dryer 25.5in M350 Silver,13,25857.0
Washers & Dryers,NT Washer & Dryer 27in L2700 Blue,13,34487.7
Air Conditioners,Proseware Air conditioner 10000BTU M490 Silver,14,6019.86
Air Conditioners,Proseware Air conditioner 7000BTU E260 Grey,14,4199.860000000001
Car Video,SV Car Video TFT6.2W E6281 Silver,14,3626.0
Car Video,SV Car Video TFT7 M7000 Silver,14,4186.0
Coffee Machines,Adventure Works Coffee Maker 4C E080 White,14,1818.6000000000004
Computers Accessories,Contoso Bluetooth Notebook Mouse E70 White,14,700.0
Computers Accessories,Contoso Connectivity Starter Kit Smart Buy M680 Black,14,390.5999999999999
Computers Accessories,Contoso Digital camera accessory kit M200 White,14,334.59999999999997
Computers Accessories,Contoso Dual USB Power Adapter - power adapter E300 Grey,14,558.5999999999999
Computers Accessories,Contoso USB Data Link-direct connect adapter E600 Black,14,236.6
Computers Accessories,Contoso USB Optical Mouse E200 Gold,14,217.0
Computers Accessories,SV 160GB USB2.0 Portable Hard Disk M65 Black,14,1342.6000000000001
Computers Accessories,SV 160GB USB2.0 Portable Hard Disk M65 Grey,14,1342.6000000000001
Digital SLR Cameras,"Contoso SLR Camera 35"" X358 Grey",14,7952.0
Fans,"Litware 14"" High Velocity Floor Fan E801 Silver",14,629.86
Fans,"Litware 16"" White Oscillating Stand Fan E701 Black",14,407.25999999999993
Fans,Litware 18'' Adjustable Oscillating Pedestal Fan E301 Silver,14,515.62
Fans,Litware 3-Speed Oscillating High-Performance Fan E201 Silver,14,419.86
Fans,Litware 80mm Dual Ball Bearing Case Fan E1001 Pink,14,69.86000000000001
Home Theater System,Contoso Home Theater System 5.1 Channel M1510 Brown,14,6846.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1540 Black,14,7406.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1540 Silver,14,7406.0
Home Theater System,Contoso Home Theater System 7.1 Channel M1700 White,14,12446.0
Home Theater System,Litware Home Theater System 5.1 Channel M512 Brown,14,9786.0
Lamps,Adventure Works Chandelier M6150 Blue,14,3219.86
Lamps,Adventure Works Chandelier M8150 Grey,14,3759.0
Lamps,Adventure Works Desk Lamp E1300 White,14,1119.3
Lamps,Litware Desk Lamp E1020 Grey,14,419.85999999999996
Lamps,Proseware Chandelier M0615 Blue,14,3219.8599999999997
Refrigerators,Fabrikam Refrigerator 4.6CuFt E2800 Brown,14,4199.860000000001
Refrigerators,Litware Refrigerator 1.7CuFt E120 White,14,1819.8600000000001
Refrigerators,Litware Refrigerator 3.2CuFt E160 Green,14,3919.86
Washers & Dryers,Contoso Washer & Dryer 27in L270 Green,14,37128.0
Washers & Dryers,NT Washer & Dryer 15.5in E1550 Silver,14,13998.599999999999
Air Conditioners,Contoso Air conditioner 10000BTU M0490 Silver,15,6449.85
Air Conditioners,Contoso Air conditioner 5200BTU E0100 Grey,15,1649.85
Air Conditioners,Proseware Air conditioner 6000BTU E180 White,15,2999.8500000000004
Air Conditioners,Proseware Air conditioner 7000BTU E260 Red,15,4499.85
Camcorders,Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 Black,15,8340.0
Car Video,SV Car Video TFT6.2W E6280 Black,15,4185.0
Car Video,SV Car Video TFT7 M7001 Black,15,4635.0
Coffee Machines,Fabrikam Coffee Maker Auto 5C E090 White,15,2445.0
Computers Accessories,Contoso ADSL Modem Splitter/Filter X 2 E200 Grey,15,343.49999999999994
Computers Accessories,Contoso Education Supplies Bundle E200 Grey,15,202.5
Computers Accessories,Contoso Mouse Lock Bundle E200 White,15,194.24999999999997
Computers Accessories,Contoso Reserve Pen - Tablet Pen E200 Grey,15,208.5
Computers Accessories,Contoso Wireless Notebook Optical Mouse X205 Silver,15,1949.2499999999998
Computers Accessories,SV 160GB USB2.0 Portable Hard Disk M65 White,15,1438.5
Computers Accessories,SV PCI Network Adapter E904 Silver,15,629.85
Digital Cameras,A. Datum Slim Digital Camera M180 Orange,15,2220.0
Fans,Litware 120mm Blue LED Case Fan E901 blue,15,149.85
Fans,Litware 18'' Oscillating Pedestal Fan M135 Blue,15,5250.0
Fans,Litware 18'' Oscillating Pedestal Fan M135 Pink,15,5250.0
Fans,Litware 3-Speed Oscillating Blower Fan M115 Black,15,1109.8499999999997
Fans,Litware USB Durable Desk Soft Fan E1401 Blue,15,450.0
Home Theater System,Contoso Home Theater System 2.1 Channel M1210 Black,15,4935.0
Home Theater System,Litware Home Theater System 5.1 Channel M513 Silver,15,10335.0
Home Theater System,Litware Home Theater System 7.1 Channel X711 Brown,15,16635.0
Lamps,Adventure Works Desk Lamp E1300 Blue,15,1199.25
Lamps,Litware Chandelier M6015 Grey,15,3449.85
Lamps,Proseware Chandelier M0615 White,15,3449.8500000000004
Lamps,Proseware Floor Lamp M0215 Silver,15,5085.0
Lamps,WWI Floor Lamp X115 Silver,15,9539.849999999999
Lamps,WWI Wall Lamp E215 Blue,15,1799.85
Refrigerators,Fabrikam Refrigerator 19CuFt M7600 White,15,13485.0
Refrigerators,Litware Refrigerator 24.7CuFt X980 Blue,15,47999.84999999999
Refrigerators,Litware Refrigerator 3.2CuFt E160 Grey,15,4199.85
Refrigerators,Litware Refrigerator 9.7CuFt M560 Blue,15,7395.0
Washers & Dryers,NT Washer & Dryer 21in E2100 Green,15,23998.5
Air Conditioners,Contoso Air conditioner 10000BTU M0490 Grey,16,6879.839999999999
Air Conditioners,Contoso Air conditioner 10000BTU M0490 Red,16,6879.84
Air Conditioners,Contoso Air conditioner 5200BTU E0100 Red,16,1759.8399999999997
Air Conditioners,Contoso Air conditioner 8000BTU M0320 Red,16,6399.84
Air Conditioners,Proseware Air conditioner 10000BTU M490 White,16,6879.84
Car Video,SV Car Video LCD7W M7080 Silver,16,8000.0
Car Video,SV Car Video TFT6.2W E6280 Silver,16,4464.0
Computers Accessories,Contoso ADSL Modem Splitter/Filter X 2 E200 White,16,366.4
Computers Accessories,Contoso Dual USB Power Adapter - power adapter E300 White,16,638.3999999999999
Computers Accessories,Contoso Multimedia Speakers M25 Black,16,2064.0
Computers Accessories,SV 4GB Laptop Memory M65 Yellow,16,1264.0
Computers Accessories,SV Keyboard E10 Grey,16,704.0
Computers Accessories,SV USB Data Cable E600 Silver,16,15.2
Fans,Litware 120mm Blue LED Case Fan E901 White,16,159.84000000000003
Fans,Litware 18'' Oscillating Pedestal Fan M145 Yellow,16,6400.0
Fans,Litware USB Durable Desk Soft Fan E1401 White,16,480.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1510 Silver,16,7824.0
Home Theater System,Contoso Home Theater System 5.1 Channel M1540 White,16,8464.0
Home Theater System,Litware Home Theater System 2.1 Channel E211 Silver,16,4318.4
Home Theater System,Litware Home Theater System 4.1 Channel M412 Silver,16,9104.0
Lamps,Adventure Works Desk Lamp E1200 White,16,479.84000000000003
Lamps,Adventure Works Floor Lamp X1150 Silver,16,10175.84
"Printers, Scanners & Fax",Proseware Ink Jet Instant PDF Sheet-Fed Scanner M300 Grey,16,2560.0
Refrigerators,Fabrikam Refrigerator 19CuFt M7600 Blue,16,14384.0
Refrigerators,Litware Refrigerator 4.6CuFt E280 Silver,16,4799.84
Washers & Dryers,Contoso Washer & Dryer 21in E210 Pink,16,25584.0
Washers & Dryers,Contoso Washer & Dryer 27in L270 Pink,16,42432.0
Washers & Dryers,NT Washer & Dryer 25.5in M2550 Green,16,31838.4
