CustomerKey,Purchase_Frequency,Average_Order_Value,Preferred_Products
2435,2,3209.220153,"SV DVD 9-Inch Player Portable M300 Silver,WWI Desktop PC3.0 M0300 Black,WWI 1GB Digital Voice Recorder Pen E100 Pink,Proseware Photo Ink Jet Printer M100 Black"
2469,1,230.17024800000002,"Contoso Digital Camera/Camcorder USB Cable E324 Silver,NT Bluetooth Stereo Headphones E52 Black"
2512,2,5087.378816,"Adventure Works Desktop PC1.60 ED160 Black,Fabrikam Coffee Maker Auto 5C E090 Grey,Litware Microwave 2.2CuFt M125 Red,Contoso Mouse Lock Bundle E200 Black,NT Wireless Bluetooth Stereo Headphones E302 Silver"
2792,1,100.327978,MGS Flight Simulator X M250
3002,1,1293.8975329999998,"SV DVD 55DVD Storage Binder M56 Silver,SV DVD 7-Inch Player Portable E200 Silver,SV 16xDVD M320 Black"
3203,2,8149.528706000001,"Contoso Coffee Maker Auto 5C E0900 White,The Phone Company Smart phones Expert M400 Gold,NT Wireless Bluetooth Stereo Headphones E102 White,Contoso Coffee Maker Auto 10C M1000 White,SV DVD Recorder L240 Gold,The Phone Company PDA Palm 3.7 inch M830 White,Contoso Cyber Shot Digital Cameras Adapter E306 Blue,Proseware CRT19 E201 Black"
3327,1,3901.0233,"Fabrikam Social Videographer 1"" 25mm E400 Blue,Contoso Coffee Maker 5C E0900 White,Litware Home Theater System 5.1 Channel M513 Black"
3575,1,1074.2346,The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Black
3964,1,1971.3539999999998,Proseware Screen 106in M1609 Black
4174,2,6316.850898000001,"Adventure Works Desktop PC2.30 MD230 White,MGS Flight Simulator X Acceleration Expansion Pack 2009 E128,NT Wireless Bluetooth Stereo Headphones E302 Pink,MGS Zoo Tycoon Dinosaur Digs2009 E162,Contoso Rechargeable Li-Ion Battery Pack E300 White"
5097,1,60.145788,Contoso 2G MP3 Player E200 Red
5445,1,778.92,The Phone Company Touch Screen Phones - LCD M12 Black
5962,2,7326.179406000001,"Fabrikam Trendsetter 1/3'' 8.5mm X200 White,Adventure Works Desktop PC2.30 MD230 Brown,Contoso Coffee Maker Auto 5C E0900 Grey,Fabrikam Refrigerator 1.7CuFt E1200 Silver,Proseware Professional Quality Plain-Paper Fax and Copier X100 Green,Adventure Works 20"" CRT TV E15 Silver,Adventure Works 20"" Analog CRT TV E45 Black,Contoso Home Theater System 2.1 Channel M1210 White"
6258,1,5779.8676,"Contoso USB Cable M250 White,The Phone Company PDA Wifi 3.5-inch M200 White,Fabrikam Laptop13.3W M3080 Red"
6308,1,1593.52648,"MGS Dungeon Siege: Legends of Aranna M330,NT Bluetooth Active Headphones E202 White,WWI 4GB Video Recording Pen X200 Yellow"
7109,1,657.442085,"WWI 1GB Digital Voice Recorder Pen E100 Pink,SV Hand Games for kids E30 Silver"
7566,1,4668.6978,"Proseware Fax phone E100 Black,SV Car Video TFT7 M7001 Brown,The Phone Company PDA Handheld 3.7 inch M630 White"
7700,1,253.28537100000003,Contoso DVD Player M140 Gold
7783,1,1889.217335,Contoso DVD 14-Inch Player Portable L100 Black
8098,1,3080.9022,"WWI 4GB Video Recording Pen X200 Red,Adventure Works Laptop16 M1601 White,Fabrikam Laptop19W M9800 Black"
8181,1,2977.153524,"Contoso Digital Camera/Camcorder USB Cable E324 Purple,SV DVD 15-Inch Player Portable L200 Black"
8789,1,2083.4053,"WWI 1GB Pulse Smart pen E50 Silver,WWI 1GBPulse Smart pen E50 Black"
8945,1,2386.40229,"Proseware Mobile Receipt and Document Scanner M200 White,WWI 2GB Spy Video Recorder Pen M300 Purple,WWI Desktop PC1.80 E1801 White"
9167,1,340.427601,SV 40GB USB2.0 Portable Hard Disk E400 Red
9184,2,35243.364960000006,"Proseware High-Performance Business-Class Laser Fax X200 White,SV Hand Games women M40 Yellow,Fabrikam Refrigerator 24.7CuFt X9800 Brown,WWI 1GB Digital Voice Recorder Pen E100 Black"
9456,2,10305.958284,"WWI Projector 720p DLP56 Silver,WWI Laptop19W X0196 Black,Contoso Enhanced Capacity Battery M800 Black,A. Datum Bridge Digital Camera M300 Pink,Contoso DVD 7-Inch Player Portable E200 Black,Adventure Works 42"" LCD HDTV M55 Black,Contoso Single-line phones E10 White,The Phone Company Smart phones Unlocked International M800 Gold"
9812,3,5628.196019999999,"SV 500GB USB 2.0 Portable External Hard Drive X405 White,SV DVD Recorder L220 White,WWI Stereo Bluetooth Headphones E1000 Blue,Contoso Touch Screen Phones  - LCD M12 Black,A. Datum Rangefinder Digital Camera X200 Black,Adventure Works Laptop19W X1980 Silver"
9915,1,17015.525999999998,"WWI Desktop PC2.30 M2300 Silver,Contoso Water Heater 7.2GPM X1800 Green,WWI Projector 720p DLP56 Black,MGS Age of Empires III: The Asian Dynasties 2009 E127"
10039,1,1314.406185,Litware Refrigerator 4.6CuFt E280 Blue
10299,1,557.118936,"Adventure Works Wall Lamp E2150 Silver,Contoso 4G MP3 Player E400 Silver"
10393,1,3300.9900000000002,The Phone Company PDA Phone 3.7 inches M340 Silver
11035,1,399.2396,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure
12160,2,10056.112287,"The Phone Company Smart phones Unlocked M300 Grey,Contoso Water Heater 2.6GPM E0900 Red,NT Wireless Bluetooth Stereo Headphones E302 Black,Adventure Works 15.6"" LCD TV M130W Brown,Contoso Water Heater 2.6GPM E0900 Silver,SV Car Video AM/FM E1000 Silver,Fabrikam Refrigerator 4.6CuFt E2800 Silver,The Phone Company Touch Screen Phones - LCD M12 Grey,WWI Screen 106in M1609 Silver"
12365,1,2739.224222,"Fabrikam Social Videographer 1/2"" 3mm E300 Orange,Contoso DVD 15-Inch Player Portable L200 Black"
12392,1,11309.560119,"Adventure Works Desktop PC1.80 ED180 White,MGS Hand Games men M300 Yellow,Contoso Touch Screen Phones  - LCD M12 Black,Fabrikam Business Videographer 1/2'' 3mm M500 Grey,SV DVD 60 DVD Storage Binder L20 Silver,SV 8xDVD E100 Silver"
12649,1,95.00039100000001,SV Hand Games for students E40 Silver
12729,4,10135.518479,"WWI Desktop PC1.80 E1800 Brown,SV DVD 58 DVD Storage Binder M55 Silver,Fabrikam Budget Movie-Maker 1/2'' 3mm E300 Black,WWI Desktop PC2.33 X2330 White,The Phone Company Smart phones 8 GB of Memory M400 Gold,SV Hand Games for Office worker L28 Black"
12859,1,782.614256,"Contoso DVD 60 DVD Storage Binder L20 Black,Adventure Works Desktop PC1.80 ED182 Silver"
13045,2,2398.5130719999997,"Proseware Air conditioner 12000BTU M640 White,SV DVD 15-Inch Player Portable L200 Black,Contoso DVD External DVD Burner M200 Silver"
13071,1,1033.3203999999998,"Adventure Works Desktop PC1.80 ED180 Black,Fabrikam Laptop13.3 M3000 Red"
13365,1,138.6807,Contoso Screen 80in E080 White
14069,1,1165.3551,Proseware LCD20W M230 White
14180,1,1247.0992379999998,"Adventure Works LCD20W M240 Black,Contoso DVD 58 DVD Storage Binder M55 Silver"
14906,1,960.5596559999999,"Contoso 90W AC/DC Power Adapter E300 Black,NT Wireless Bluetooth Stereo Headphones M402 Purple,Contoso DVD 60 DVD Storage Binder L20 Silver"
14962,2,22813.785196999997,"Proseware Mobile Receipt and Document Scanner M200 Grey,MGS Hand Games for students E400 Red,Adventure Works 52"" LCD HDTV X590 Brown,WWI Desktop PC1.80 E1801 Silver,Contoso DVD 38 DVD Storage Binder E25 Silver,MGS Age of Empires II: The Conquerors Expansion 2009 E178"
14988,1,8436.369032,"The Phone Company PDA Palm 3.7 inch M830 White,Adventure Works Laptop16 M1601 White,Proseware Projector 720p LCD56 Silver,WWI Desktop PC2.33 X2330 Brown,NT Wireless Transmitter and Bluetooth Headphones M150 Blue"
15391,1,635.0611410000001,"Contoso DVD 55DVD Storage Binder M56 Silver,The Phone Company Touch Screen Phones - LCD M12 Grey,SV Rechargeable Bluetooth Notebook Mouse E80 White"
15718,1,3002.237986,"NT Bluetooth Stereo Headphones E52 Yellow,Contoso DVD Recorder L200 Black,The Phone Company Sharp Touch Screen Phones M910 Gold,Adventure Works 19"" Color Digital TV E35 Brown,WWI Desktop PC1.60 E1600 White,Contoso 16GB Mp5 Player M1600 Green"
16716,1,2686.082852,"Contoso Expandable1-Handset Cordless Phone System M207 White,A. Datum Full Frame Digital Camera X300 Silver Grey,Fabrikam Budget Moviemaker 1/2'' 3mm E300 White"
17412,3,2863.059479,"Litware Tower Fan E501 Yellow,MGS Empires Collector's 2008 M440,MGS Hand Games for kids E300 Black,Contoso DVD Recorder L200 Black,MGS Hand Games women M400 Yellow,Adventure Works Desktop PC1.60 ED160 Black"
17811,1,3822.44352,"The Phone Company PDA Wifi 4.7-inch L290 Silver,WWI Desktop PC1.80 E1800 Black,MGS MechWarrior 4 Mach Paks2009 E161"
18309,1,674.801295,"Adventure Works Laptop12 M1201 Silver,MGS Rise of Nations: Gold Edition 2009 E143"
18470,3,2430.4380260000003,"Contoso 16GB New Generation MP5 Player M1650 Silver,The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Gold,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,The Phone Company Microsoft Windows Mobile M200 White,Contoso Touch Stylus Pen E150 Red,SV DVD 58 DVD Storage Binder M55 Red"
18493,1,477.00328,Contoso Expandable 4-Handset Cordless Phone System M206 White
18887,1,1689.2754120000004,"MGS Hand Games women M400 Silver,SV 22xDVD M600 Silver,Contoso DVD 12-Inch Player Portable M400 Black"
19082,3,6455.513638,"Contoso Home Theater System 5.1 Channel M1520 Brown,Fabrikam Trendsetter 2/3"" 17mm X100 Orange,Contoso Wireless Laser Mouse M55 Black,WWI 4GB Video Recording Pen X200 Black,Fabrikam Budget Movie-Maker 1'' 25mm E400 Black"
19207,2,3274.6046239999996,"SV 8xDVD E120 Black,SV DVD 15-Inch Player Portable L200 Black,Litware 17'' Oscillating Pedestal Fan M125 Pink,Contoso DVD 60 DVD Storage Binder L20 Black"
19404,1,978.0101999999999,"SV DVD Recorder L240 Gold,SV DVD Recorder L210 Silver"
19534,1,1172.6999580000002,"WWI Wireless Transmitter and Bluetooth Headphones X250 Red,WWI Desktop PC1.80 E1800 Black,Contoso DVD 60 DVD Storage Binder L20 Silver"
19726,1,1292.9559,"SV Car Video TFT6.2W E6280 Silver,The Phone Company PDA Palm 3.7 inch M830 Silver"
19753,2,952.2047370000001,"Contoso DVD 9-Inch Player Portable M300 White,SV DVD External DVD Burner M200 Grey,Contoso Dual USB Power Adapter - power adapter E300 Grey"
20069,4,4466.679802,"SV DVD 14-Inch Player Portable L100 Black,Contoso DVD 38 DVD Storage Binder E25 Black,MGS Hand Games men M300 Silver,SV Hand Games men M30 Red,Contoso 4GB Flash MP3 Player E401 Blue,Adventure Works Desktop PC1.80 ED182 Brown,Contoso Integrated Business Phone L08 White,WWI Desktop PC2.33 X2330 White"
20092,2,5879.639230000001,"Contoso Rubberized Skin BlackBerry E100 White,SV DVD Recorder L230 Grey,SV Car Video LCD7 M7003 Silver,WWI Wireless Bluetooth Stereo Headphones M170 White,SV DVD 48 DVD Storage Binder M50 Black"
20237,1,7220.73051,"SV Hand Games for students E40 Yellow,Adventure Works Laptop19W X1980 Silver,MGS Zoo Tycoon 2: African Adventure M280,WWI Desktop PC1.80 E1800 Brown,NT Wireless Bluetooth Stereo Headphones E302 Pink,SV DVD Recorder L200 Black"
20623,3,5040.651234,"Contoso Screen 100in E010 Silver,Contoso 8GB MP3 Player new model M820 Black,NT Bluetooth Active Headphones E202 Red,Contoso DVD 60 DVD Storage Binder L20 Red,Adventure Works Desktop PC2.33 XD233 Brown"
20946,1,8030.078595000001,"WWI Desktop PC1.60 E1600 White,Proseware Projector 1080p DLP86 Silver,Contoso DVD Player M120 White,MGS Hand Games for 12-16 boys E600 Yellow,WWI Desktop PC1.60 E1600 Black"
21203,1,1179.921,"Fabrikam SLR Camera 35"" X358 Pink"
21424,2,9681.488637999999,"MGS Hand Games men M300 Silver,Fabrikam Laptop14.1 M4100 White,Adventure Works Desktop PC2.30 MD230 Black,The Phone Company PDA Palm 3.7 inch M830 Black,Contoso Touch Screen Phones 4-Wire/ Built-in M205 Black"
21460,1,4826.044752,"The Phone Company Touch Screen Phones Infrared M901 Gold,Litware Floor Lamp M2015 Silver,Reusable Phone Screen Protector E120,The Phone Company Smart phones 8 GB of Memory M400 White,Adventure Works Desktop PC1.80 ED180 Black,Adventure Works LCD20W M240 White"
21523,1,13461.767451,"The Phone Company Smart phones 160x160 M26 Grey,Fabrikam Social Videographer 1'' 25mm E400 White,Contoso Water Heater 7.2GPM X1800 Silver,NT Wireless Transmitter and Bluetooth Headphones M150 Black"
21575,1,583.869,Contoso Home Theater System 5.1 Channel M1500 Black
21819,2,1351.06946,"SV DVD 12-Inch Player Portable M400 Black,NT Wireless Transmitter and Bluetooth Headphones M150 Green,WWI 1GB Digital Voice Recorder Pen E100 Black"
22540,2,32608.655969,"Contoso DVD 12-Inch Player Portable M400 White,Contoso 2G MP3 Player E200 Red,SV Hand Games for students E40 Black,SV DVD 38 DVD Storage Binder E25 Black,Adventure Works 32"" LCD HDTV M130 Brown,SV DVD 58 DVD Storage Binder M55 Black,Contoso Washer & Dryer 25.5in M255 Red"
23203,3,4496.575302,"Contoso Projector 480p M481 Black,WWI Desktop PC2.30 M2300 Black,MGS Bicycle Card Games X600,The Phone Company Touch Screen Phones Capacitive M908 Black,WWI 1GB Digital Voice Recorder Pen E100 Red,WWI 1GB Pulse Smart pen E50 Silver,Contoso General Carrying Case E304 Silver,WWI 1GB Digital Voice Recorder Pen E100 Pink,Contoso ADSL Modem Splitter/Filter X 3 E300 White"
23267,1,1957.7636260000002,"Contoso Water Heater 7.2GPM X1800 Silver,SV 512MB Laptop memory E800 Black"
23320,1,945.8608800000001,SV DVD 9-Inch Player Portable M300 Silver
23599,1,5436.7813719999995,"Adventure Works Desktop PC2.33 XD233 Brown,Contoso Microwave 0.9CuFt E0090 Silver,WWI LCD17W E200 Black,The Phone Company Touch Screen Phones - LCD M12 Grey"
25771,3,3763.20581,"Contoso Coffee Maker 12C M1000 Silver,Contoso Dual Handset Cordless Phone System E20 Grey,Contoso Touch Screen Phones 4-Wire/ Built-in M205 Black,Contoso DVD 7-Inch Player Portable E200 Silver"
25864,3,4547.558729,"WWI Wireless Bluetooth Stereo Headphones M170 Silver,Fabrikam SLR Camera 35"" X358 Gold,SV Hand Games for kids E30 Black,The Phone Company Smart phones Unlocked International M800 Black,WWI Desktop PC1.60 E1600 White"
26477,1,9684.078756,"Adventure Works 52"" LCD HDTV X590 Silver,Contoso Expandable 4-Handset Cordless Phone System M206 Grey,The Phone Company Touch Screen Phones - LCD M12 Gold,SV DVD 15-Inch Player Portable L200 Silver,NT Wireless Bluetooth Stereo Headphones E302 Black,SV DVD 7-Inch Player Portable E200 White"
26642,1,2877.333737,"Adventure Works Coffee Maker 12C M100 Black,WWI Wireless Transmitter and Bluetooth Headphones X250 Red"
26728,1,19387.429888,"SV Car Video LCD7W M7081 Silver,Adventure Works 52"" LCD HDTV X590 Black"
27356,2,2120.275132,"WWI Stereo Bluetooth Headphones E1000 Blue,Contoso Microwave 2.2CuFt M0125 White,WWI 2GB Spy Video Recorder Pen M300 Black,WWI 2GB Pulse Smart pen M100 Silver"
27492,3,9639.643746999998,"Contoso Connectivity Starter Kit Smart Buy M680 White,Contoso DVD 14-Inch Player Portable L100 White,Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 Black,Litware Washer & Dryer 24in M260 Green,Fabrikam Social Videographer 2/3"" 17mm E100 Orange,Contoso Lens Adapter M450 Black,WWI LCD20W M250 Black,MGS MechCollection2009 E156,Fabrikam SLR Camera X149 Pink,SV DVD 58 DVD Storage Binder M55 Red"
27616,2,3690.673449,"MGS MechWarrior 4: Vengeance X800,Fabrikam SLR Camera M149 Blue,Contoso Water Heater 4.3GPM M1250 Yellow,MGS Zoo Tycoon Marine Mania 2009 E160,WWI Desktop PC2.30 M2300 Brown,MGS MechCollection2009 E156"
27945,1,83.36573000000001,Contoso Digital Cordless Expansion Handset Phone M900 Black
28690,2,1348.028712,"The Phone Company Smart phones 320 x 320 M86 Gold,MGS Hand Games for students E400 Red"
29041,1,6049.242,"Fabrikam Laptop14.1 M4100 White,Contoso Water Heater 2.6GPM E0900 Red"
29278,1,224.1704,"Proseware Desk Jet All-in-One Printer, Scanner, Copier M350 Black"
29475,1,896.465856,"SV DVD Player M130 Grey,Proseware LCD15 E103 Black,MGS Gears of War M170"
29555,3,5655.406840000001,"WWI Desktop PC2.33 X2330 Silver,Proseware Color Ink Jet Fax, Copier, Phone M250 Green,Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White"
29647,1,2310.00012,"Contoso Microwave 1.0CuFt E0110 White,WWI Desktop PC1.80 E1802 White,Contoso DVD Player M110 Silver"
29689,2,17380.463562,"The Phone Company Smart phones 320 x 320 M86 Pink,WWI Projector 720p DLP56 Silver,Fabrikam Independent Filmmaker 2/3'' 17mm X100 Black,Contoso Lens Adapter M450 White,MGS Racing Madness 2009 E169,SV DVD Player M120 White"
29812,1,440.50517099999996,"SV DVD External DVD Burner M200 Black,Adventure Works Desktop PC1.60 ED160 Black"
29973,2,4632.602228,"MGS Hand Games for kids E300 Yellow,Proseware Mobile Receipt and Document Scanner M200 White,Adventure Works Laptop15 M1501 Silver,Adventure Works Desktop PC2.30 MD230 Silver,Contoso DVD 14-Inch Player Portable L100 Black,Proseware Screen 85in E1010 White"
30090,2,1601.244678,"SV Hand Games for Office worker L28 Yellow,Contoso Touch Screen Phones  - LCD M12 Black,MGS MechWarrior 4:Knight2009 E171,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,A. Datum Slim Digital Camera M180 Orange"
31086,1,527.46125,"Contoso Electronic Private Automatic Branch Exchange M90 White,MGS Hand Games men M300 Black,Contoso DVD External DVD Burner M200 Grey,Litware Wall Lamp E2015 White"
31164,1,10917.16164,"Adventure Works Desktop PC2.33 XD233 Brown,Adventure Works Coffee Maker Auto 10C M100 Black,Adventure Works 15.6"" LCD TV M130W White"
31236,1,6552.773800000001,"Proseware LCD24W X300 Black,Contoso DVD Recorder L220 White"
31784,1,2871.8746090000004,"MGS Hand Games for kids E300 Silver,WWI Stereo Bluetooth Headphones New Generation M370 Yellow,Fabrikam Trendsetter 2/3"" 17mm X100 Orange"
32037,2,4542.189164,"Contoso DVD 60 DVD Storage Binder L20 Silver,Contoso DVD 12-Inch Player Portable M400 Silver,Litware Microwave 2.2CuFt M125 White,WWI Desktop PC1.80 E1802 White,NT Wireless Bluetooth Stereo Headphones M402 Red,Contoso 4GB Flash MP3 Player E401 White"
32455,1,5650.282499999999,Contoso Water Heater 7.2GPM X1800 Red
32488,1,46.2528,MGS MechCollection2009 E156
32511,1,22958.22555,"Adventure Works Laptop15 M1500 Black,NT Bluetooth Active Headphones E202 Silver,NT Wireless Bluetooth Stereo Headphones M402 Purple,WWI Projector 1080p LCD86 Silver"
32538,1,907.0032,WWI 4GB Video Recording Pen X200 Red
33036,2,1670.681402,"Adventure Works Desktop PC1.80 ED182 Silver,Contoso DVD 60 DVD Storage Binder L20 Silver,Fabrikam SLR Camera M148 Silver Grey"
33205,4,5542.604888,"MGS MechWarrior 4: Vengeance 2009 E175,SV Car Video AM/FM E1000 Silver,WWI Desktop PC1.80 E1801 Brown,The Phone Company Touch Screen Phones 26-1.4"" M250 Gold,Fabrikam Social Videographer 1/2'' 3mm E300 White,SV DVD Player M100 Black,MGS Age of Empires III: The War Chiefs 2007 E132,SV DVD 60 DVD Storage Binder L20 Black,WWI 1GB Digital Voice Recorder Pen E100 White,SV DVD Recorder L200 Black"
33444,3,14658.822799999998,"Fabrikam Independent Filmmaker 1'' 25mm X400 Black,Proseware Photo Inkjet Printer M100 Grey,Contoso Water Heater 4.3GPM M1250 Blue,MGS Age of Mythology: Gold Edition M310,SV DVD Player M140 Gold,Adventure Works Desktop PC1.80 ED180 Brown,Contoso Expandable1-Handset Cordless Phone System M207 Black,Contoso 16GB Mp5 Player M1600 Green"
34081,4,13212.782288,"Litware Home Theater System 4.1 Channel M412 Brown,Adventure Works 20"" LCD HDTV M120 Silver,SV DVD 38 DVD Storage Binder E25 Red,WWI Desktop PC1.80 E1801 Black,NT Bluetooth Stereo Headphones E52 Yellow,The Phone Company PDA GPS Phone 3.5 inch M910 Silver,Contoso Water Heater 4.0GPM M1250 Green,Contoso General Carrying Case E304 White"
34143,1,7055.918000000001,"The Phone Company Smart phones Expert M400 Gold,Adventure Works LCD24 X300 Black,Fabrikam Business Videographer 2/3'' 17mm M280 Grey"
34431,1,37.9512,MGS Age of Mythology E118
34850,2,3209.2581280000004,"SV DVD 9-Inch Player Portable M300 Black,WWI Desktop PC2.33 X2330 Brown"
34915,1,79.856,Contoso Digital Camera/Camcorder USB Cable E324 White
35257,2,169.65025099999997,"Contoso Smart Battery M901 Blue,Contoso Mouse Lock Bundle E200 Grey,Contoso Expandable1-Handset Cordless Phone System M207 Black"
35703,1,992.419878,"The Phone Company Smart phones 160x160 M26 Gold,Proseware Professional Quality Plain-Paper Fax and Copier X100 Grey,Contoso Mini Battery Charger Kit E320 White"
35733,3,12327.518375999998,"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Gold,Adventure Works 15.6"" LCD TV M130W White,Contoso Expandable 2-Handset Cordless Phone System M205 White,MGS Train Simulator 2009 E174,Adventure Works Desktop PC2.33 XD233 Brown,The Phone Company Touch Screen Phones - LCD M12 Black,NT Wireless Bluetooth Stereo Headphones M402 Purple,Adventure Works Desktop PC1.80 ED180 Black,Contoso Bluetooth Active Headphones L15 Red"
35795,1,12363.268608,"Adventure Works Desktop PC1.80 ED182 White,Contoso Water Heater 7.2GPM X1800 Red,Adventure Works 26"" 720p LCD HDTV M140 Black,Contoso KSU-less key system M38 Black,SV Hand Games for students E40 Black"
36112,2,4082.768334,"The Phone Company Smart phones Unlocked International M800 Black,Contoso DVD External DVD Burner M200 Blue,Contoso 32GB Video MP3 Player M3200 Orange,SV Rechargeable Bluetooth Notebook Mouse E80 Grey,SV 16xDVD M350 Silver,Contoso DVD Movies E100 Yellow,Proseware High-Performance Business-Class Laser Fax X200 Green"
36336,1,2204.08246,"Adventure Works 52"" LCD HDTV X790W Brown"
36418,1,1340.0783999999999,"Adventure Works Desktop PC2.33 XD233 Black,SV DVD External DVD Burner M200 Blue"
36507,2,7655.849099999999,"WWI Desktop PC1.80 E1800 White,SV Car Video LCD7 M7003 Silver,Contoso DVD 12-Inch Player Portable M400 Silver,MGS Zoo Tycoon2: Marine Mania Expansion Pack 2008 E135,Contoso DVD Player M110 Silver,Adventure Works Desktop PC1.80 ED180 Black"
37070,3,11657.311875,"The Phone Company Touch Screen Phones - LCD M12 Gold,Contoso Projector 480p M481 Silver,NT Wireless Bluetooth Stereo Headphones E102 Blue,NT Washer & Dryer 15.5in E1550 Green"
37251,1,4740.9922559999995,"Adventure Works Desktop PC1.60 ED160 White,Contoso Conversion Lens M550 Blue,Adventure Works 26"" 720p LCD HDTV M140 Black"
37408,1,6252.610385000001,"Adventure Works 20"" Analog CRT TV E45 Brown,Adventure Works Desktop PC3.0 MS300 Black,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso Coffee Maker 12C M1000 White"
37580,1,882.8973299999999,"WWI Desktop PC2.30 M2300 Silver,NT Wireless Bluetooth Stereo Headphones E302 Yellow"
37585,1,5185.605684,"Adventure Works Desktop PC2.30 MD230 Black,MGS Hand Games for students E400 Red,The Phone Company Touch Screen Phones 5-Wire/Built-in M500 Black"
37802,3,12505.144876000002,"Litware Microwave 1.0CuFt E110 Blue,Fabrikam Microwave 0.9CuFt E0900 White,Fabrikam Coffee Maker Auto 5C E090 Grey,WWI 1GB Digital Voice Recorder Pen E100 Black,SV DVD 55DVD Storage Binder M56 Red,Adventure Works Laptop15.4W M1548 White,MGS MechWarrior 4 Mach Packs X100,The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Black,WWI Desktop PC1.60 E1600 Silver,Contoso Multi-line phones M30 White"
37991,2,9879.348899999999,"WWI 4GB Video Recording Pen X200 Black,WWI LCD24W X300 White,Proseware Slim-Design Fax Machine with Answering System X180 Black,The Phone Company Smart phones 160x160 M26 White"
38006,1,9.82095,MGS Hand Games for students E400 Silver
38036,1,1383.1115,"The Phone Company PDA Handheld 3.5 inch M610 White,WWI Desktop PC1.80 E1801 White"
38195,3,9028.886461,"SV DVD 15-Inch Player Portable L200 White,Contoso Water Heater 1.5GPM E0800 White,The Phone Company PDA GPS Phone 3.5 inch M910 Silver,SV Hand Games men M30 Black,Litware Floor Lamp M2015 Silver,The Phone Company Touch Screen Phones 26-2.2"" M200 Gold,WWI 2GB Pulse Smart pen M100 Blue,Adventure Works Desktop PC1.80 ED180 Brown,Proseware Laser Jet Printer E100 Black,MGS MechWarrior 4 Mach Paks2009 E161"
