CustomerKey,FirstPurchase,LastPurchase,TotalOrders,CustomerStatus
71511,2016-10-01,2019-07-02,3,Inactive
71625,2016-05-13,2018-11-06,2,Inactive
72003,2017-11-09,2020-01-17,2,Inactive
72194,2020-02-07,2020-02-07,1,Inactive
72812,2016-08-19,2019-08-28,2,Inactive
72826,2019-07-17,2019-07-17,1,Inactive
73070,2018-10-01,2019-01-29,2,Inactive
73636,2020-05-11,2020-05-11,1,Inactive
73704,2017-03-06,2017-03-06,1,Inactive
74071,2017-12-26,2019-01-18,2,Inactive
74581,2016-06-16,2016-06-16,1,Inactive
74585,2017-08-26,2019-11-13,2,Inactive
74687,2016-12-20,2016-12-20,1,Inactive
74845,2019-05-15,2020-05-23,2,Inactive
74871,2019-10-26,2019-10-26,1,Inactive
75555,2018-12-17,2018-12-26,2,Inactive
75706,2019-06-26,2020-01-28,2,Inactive
75965,2018-08-15,2018-11-24,2,Inactive
75976,2018-05-14,2018-05-14,1,Inactive
75991,2019-07-10,2019-07-10,1,Inactive
76013,2019-12-28,2020-07-25,2,Inactive
76021,2016-01-06,2018-12-01,3,Inactive
76149,2019-09-07,2019-09-07,1,Inactive
76499,2018-11-18,2018-11-18,1,Inactive
76560,2018-02-03,2020-02-20,2,Inactive
76714,2017-09-02,2018-11-14,2,Inactive
76891,2020-12-24,2020-12-24,1,Inactive
76979,2016-12-27,2016-12-27,1,Inactive
77150,2018-12-29,2020-03-02,2,Inactive
77290,2017-07-06,2017-07-06,1,Inactive
77534,2018-07-22,2018-07-22,1,Inactive
78097,2017-12-25,2019-07-24,2,Inactive
78428,2017-08-24,2020-08-29,3,Inactive
78578,2020-01-08,2020-01-08,1,Inactive
78616,2018-12-08,2018-12-08,1,Inactive
79131,2016-12-16,2017-07-25,2,Inactive
79191,2020-04-29,2020-04-29,1,Inactive
79245,2020-01-23,2020-01-23,1,Inactive
80029,2019-01-30,2019-01-30,1,Inactive
80128,2017-03-04,2017-03-04,1,Inactive
80155,2017-01-13,2019-01-21,2,Inactive
80172,2018-12-24,2020-02-06,3,Inactive
80273,2019-05-18,2019-05-18,1,Inactive
80598,2020-01-30,2020-01-30,1,Inactive
81018,2016-11-05,2017-03-15,2,Inactive
81720,2019-01-12,2019-05-29,2,Inactive
82415,2016-01-08,2020-08-07,3,Inactive
82533,2017-01-06,2017-08-11,2,Inactive
82644,2017-05-26,2020-06-17,3,Inactive
83643,2019-11-18,2019-11-18,1,Inactive
83651,2020-01-08,2020-01-08,1,Inactive
83690,2016-09-13,2016-09-13,1,Inactive
83705,2016-09-29,2016-09-29,1,Inactive
83985,2019-07-16,2019-08-19,2,Inactive
84085,2019-11-19,2019-11-19,1,Inactive
85080,2021-02-10,2021-02-10,1,Inactive
85124,2019-10-29,2019-10-29,1,Inactive
85265,2017-06-21,2019-06-07,3,Inactive
85430,2019-02-28,2019-02-28,1,Inactive
85597,2016-11-09,2017-10-07,2,Inactive
85609,2017-09-21,2019-01-12,2,Inactive
85804,2018-05-12,2018-05-12,1,Inactive
85861,2019-08-21,2020-01-08,2,Inactive
85974,2018-05-10,2020-12-23,3,Inactive
86036,2020-02-15,2020-02-15,1,Inactive
86126,2016-01-12,2018-11-09,2,Inactive
86267,2020-11-03,2020-11-03,1,Inactive
86465,2019-01-05,2019-11-08,2,Inactive
86472,2019-06-29,2019-06-29,1,Inactive
86475,2018-12-29,2019-08-14,2,Inactive
87229,2019-06-15,2019-06-15,1,Inactive
87690,2020-09-28,2020-09-28,1,Inactive
87891,2019-01-10,2019-01-10,1,Inactive
88047,2018-06-06,2018-06-06,1,Inactive
88785,2016-06-16,2019-08-29,2,Inactive
88791,2017-02-24,2017-02-24,1,Inactive
88897,2018-07-12,2019-07-02,2,Inactive
89416,2019-07-08,2019-07-08,1,Inactive
89721,2016-06-28,2018-07-05,2,Inactive
89946,2018-05-02,2019-06-12,2,Inactive
90037,2018-12-29,2018-12-29,1,Inactive
90079,2018-05-30,2019-12-21,3,Inactive
90316,2016-12-24,2019-12-26,2,Inactive
90893,2018-01-05,2018-01-05,1,Inactive
91218,2018-07-14,2018-07-14,1,Inactive
91545,2018-11-09,2018-11-09,1,Inactive
91756,2019-01-05,2019-01-05,1,Inactive
91913,2019-06-29,2019-06-29,1,Inactive
91918,2020-02-01,2020-05-06,2,Inactive
92275,2017-09-02,2017-09-02,1,Inactive
92311,2018-12-17,2018-12-17,1,Inactive
92920,2018-09-12,2018-09-12,1,Inactive
93314,2016-05-13,2019-05-27,3,Inactive
93339,2017-03-04,2017-03-04,1,Inactive
93389,2018-09-25,2019-09-21,2,Inactive
93788,2018-09-06,2018-09-06,1,Inactive
94554,2018-12-15,2018-12-15,1,Inactive
94758,2017-07-29,2019-06-19,2,Inactive
95043,2019-02-19,2019-02-27,2,Inactive
95275,2018-02-24,2018-02-24,1,Inactive
96331,2017-08-24,2020-12-26,3,Inactive
96631,2019-11-05,2019-11-05,1,Inactive
97219,2020-01-20,2020-01-20,1,Inactive
97228,2016-04-29,2016-04-29,1,Inactive
97611,2016-01-23,2019-06-14,4,Inactive
98002,2016-12-29,2019-05-02,3,Inactive
98185,2019-09-11,2019-09-11,1,Inactive
98583,2019-01-24,2019-01-24,1,Inactive
99189,2017-06-07,2017-06-07,1,Inactive
99711,2017-10-10,2019-07-24,2,Inactive
99810,2018-02-16,2020-05-26,2,Inactive
99988,2016-06-09,2019-06-03,2,Inactive
100040,2018-08-30,2018-08-30,1,Inactive
100092,2018-06-01,2020-08-14,4,Inactive
100361,2020-01-01,2020-01-01,1,Inactive
100386,2019-10-12,2019-10-12,1,Inactive
101064,2019-04-27,2019-04-27,1,Inactive
101100,2019-09-24,2019-09-24,1,Inactive
102466,2018-10-03,2019-02-15,2,Inactive
102503,2017-05-26,2017-05-26,1,Inactive
102817,2019-08-17,2019-08-17,1,Inactive
104456,2018-05-10,2019-10-22,3,Inactive
104748,2018-07-21,2020-01-14,2,Inactive
105107,2019-01-09,2019-01-09,1,Inactive
105126,2019-06-15,2019-06-15,1,Inactive
105417,2019-11-25,2019-11-25,1,Inactive
105595,2020-01-29,2020-01-29,1,Inactive
105647,2016-04-29,2019-12-30,6,Inactive
106039,2019-07-13,2019-07-13,1,Inactive
106880,2016-02-04,2018-03-05,2,Inactive
107299,2018-03-13,2018-03-13,1,Inactive
108022,2020-10-29,2020-10-29,1,Inactive
108311,2016-10-11,2020-02-14,3,Inactive
109148,2019-01-17,2019-11-29,2,Inactive
109580,2016-12-17,2018-02-24,2,Inactive
109977,2020-01-04,2020-01-04,1,Inactive
111207,2018-05-30,2018-05-30,1,Inactive
111492,2019-09-02,2020-02-21,2,Inactive
111568,2020-02-29,2020-02-29,1,Inactive
112287,2020-03-17,2020-03-17,1,Inactive
112762,2016-08-16,2018-12-10,2,Inactive
113121,2020-02-07,2020-02-07,1,Inactive
113244,2019-10-17,2020-02-05,3,Inactive
113290,2020-04-30,2020-04-30,1,Inactive
113294,2020-02-08,2020-02-08,1,Inactive
113448,2019-11-26,2020-02-21,2,Inactive
113481,2018-05-26,2018-10-19,2,Inactive
113635,2018-06-09,2018-06-09,1,Inactive
113833,2020-01-04,2020-01-04,1,Inactive
114070,2018-12-08,2019-06-12,2,Inactive
114201,2018-12-21,2018-12-21,1,Inactive
114561,2018-10-17,2019-09-26,2,Inactive
114916,2016-11-03,2018-12-22,2,Inactive
114949,2018-09-14,2021-01-06,3,Inactive
115168,2019-09-12,2019-09-12,1,Inactive
115335,2017-10-19,2020-02-28,2,Inactive
115447,2017-10-14,2020-02-29,2,Inactive
115452,2019-05-08,2019-05-08,1,Inactive
115902,2017-12-28,2017-12-28,1,Inactive
116149,2017-10-28,2020-05-08,4,Inactive
116524,2017-12-12,2020-12-26,3,Inactive
116571,2017-12-30,2017-12-30,1,Inactive
116824,2019-06-19,2019-06-19,1,Inactive
117048,2017-10-24,2017-10-24,1,Inactive
117386,2018-02-03,2018-02-03,1,Inactive
117496,2020-06-25,2020-06-25,1,Inactive
117995,2019-10-22,2019-10-22,1,Inactive
118271,2018-12-22,2019-05-11,3,Inactive
118451,2019-12-05,2019-12-05,1,Inactive
118540,2016-02-27,2016-02-27,1,Inactive
118829,2016-08-27,2020-12-10,3,Inactive
118902,2020-07-11,2020-07-11,1,Inactive
119085,2018-12-18,2019-09-18,2,Inactive
119365,2019-03-07,2019-03-07,1,Inactive
120398,2019-01-22,2019-01-22,1,Inactive
120607,2019-12-14,2019-12-14,1,Inactive
120802,2019-02-17,2019-02-17,1,Inactive
120952,2018-06-07,2018-06-07,1,Inactive
121324,2018-11-30,2018-11-30,1,Inactive
121376,2019-11-01,2019-11-01,1,Inactive
121813,2019-02-14,2019-02-14,1,Inactive
121958,2016-05-04,2016-06-28,2,Inactive
122096,2017-12-28,2017-12-28,1,Inactive
122511,2016-02-17,2016-02-17,1,Inactive
122533,2019-04-30,2019-06-20,3,Inactive
123266,2016-10-20,2019-12-27,2,Inactive
123353,2019-02-16,2019-11-16,2,Inactive
124444,2019-12-12,2019-12-12,1,Inactive
124719,2016-10-06,2017-07-06,2,Inactive
124722,2020-10-15,2020-10-15,1,Inactive
125008,2016-08-20,2016-08-20,1,Inactive
125033,2019-08-30,2019-08-30,1,Inactive
125236,2016-05-21,2019-01-05,2,Inactive
125254,2019-09-28,2019-09-28,1,Inactive
125391,2017-10-05,2017-10-05,1,Inactive
125649,2018-01-07,2020-02-21,2,Inactive
125764,2017-10-31,2017-10-31,1,Inactive
125784,2019-11-06,2020-01-01,2,Inactive
125873,2019-02-27,2019-02-27,1,Inactive
125950,2016-01-26,2016-01-26,1,Inactive
126083,2019-12-31,2020-08-20,2,Inactive
126320,2020-02-20,2020-02-20,1,Inactive
126573,2016-06-01,2017-06-03,2,Inactive
126633,2017-06-12,2017-07-29,2,Inactive
126744,2020-07-09,2020-07-09,1,Inactive
126838,2019-07-10,2019-07-10,1,Inactive
126852,2016-02-27,2018-05-23,2,Inactive
127015,2016-07-02,2019-10-18,5,Inactive
127146,2019-01-03,2019-01-03,1,Inactive
127193,2016-01-30,2016-01-30,1,Inactive
127239,2020-12-19,2020-12-19,1,Inactive
127283,2020-01-02,2020-01-02,1,Inactive
127417,2019-09-09,2019-09-09,1,Inactive
127943,2017-02-18,2020-05-28,3,Inactive
128179,2016-04-30,2016-04-30,1,Inactive
128305,2017-07-04,2020-05-13,4,Inactive
129176,2018-09-17,2018-12-26,2,Inactive
129318,2016-01-02,2016-01-02,1,Inactive
129494,2016-03-02,2018-12-19,2,Inactive
129540,2019-01-28,2019-08-13,2,Inactive
129554,2019-07-25,2019-12-03,2,Inactive
129581,2018-08-07,2018-08-07,1,Inactive
129698,2020-02-27,2020-02-27,1,Inactive
130214,2016-02-02,2016-02-02,1,Inactive
130270,2017-11-22,2017-11-22,1,Inactive
130585,2017-03-02,2017-03-02,1,Inactive
130670,2018-07-21,2019-12-25,3,Inactive
130750,2017-12-14,2017-12-14,1,Inactive
131067,2019-10-07,2019-10-07,1,Inactive
131758,2017-06-29,2017-06-29,1,Inactive
131976,2016-02-18,2016-09-28,2,Inactive
132377,2018-12-26,2018-12-26,1,Inactive
132701,2016-09-03,2016-09-03,1,Inactive
132774,2018-07-25,2019-10-17,2,Inactive
133358,2018-12-29,2020-02-14,2,Inactive
133458,2016-09-17,2020-01-21,2,Inactive
133761,2016-12-24,2018-01-26,2,Inactive
133787,2016-12-24,2019-08-05,2,Inactive
133905,2019-05-25,2019-05-25,1,Inactive
133928,2017-09-30,2017-09-30,1,Inactive
133956,2019-08-10,2019-08-10,1,Inactive
133986,2017-05-06,2017-05-06,1,Inactive
134230,2018-02-17,2018-02-17,1,Inactive
134281,2018-01-25,2020-02-24,2,Inactive
135020,2016-02-20,2016-02-20,1,Inactive
135374,2019-05-13,2019-05-13,1,Inactive
135675,2019-12-26,2019-12-26,1,Inactive
136055,2020-02-26,2020-02-26,1,Inactive
136134,2017-05-17,2020-01-24,2,Inactive
136284,2016-09-02,2019-01-05,3,Inactive
137865,2016-08-06,2016-08-06,1,Inactive
137949,2017-11-13,2017-11-13,1,Inactive
138242,2017-07-15,2020-04-29,4,Inactive
138332,2017-08-10,2019-08-10,3,Inactive
138464,2020-03-05,2020-03-05,1,Inactive
138735,2016-12-17,2021-01-07,2,Inactive
139224,2020-01-02,2020-01-02,1,Inactive
139376,2017-05-04,2017-05-04,1,Inactive
139411,2019-02-22,2019-02-22,1,Inactive
139479,2018-06-27,2019-03-04,2,Inactive
139742,2019-12-03,2019-12-03,1,Inactive
139817,2020-01-07,2020-01-07,1,Inactive
139856,2018-02-20,2018-02-20,1,Inactive
139891,2016-10-18,2019-08-06,3,Inactive
140004,2018-02-19,2018-02-19,1,Inactive
140239,2018-12-24,2018-12-24,1,Inactive
140389,2017-12-23,2017-12-23,1,Inactive
140829,2018-12-06,2018-12-06,1,Inactive
140872,2019-11-13,2019-11-13,1,Inactive
140911,2020-02-05,2020-02-05,1,Inactive
140956,2020-01-03,2020-01-03,1,Inactive
140972,2018-05-19,2018-05-19,1,Inactive
141179,2016-08-04,2016-08-04,1,Inactive
141238,2016-08-06,2016-08-06,1,Inactive
141338,2016-09-19,2021-01-13,2,Inactive
141696,2017-05-20,2017-05-20,1,Inactive
142086,2018-08-20,2018-08-20,1,Inactive
142282,2018-01-23,2018-08-01,2,Inactive
142335,2020-05-20,2020-05-20,1,Inactive
142837,2018-09-17,2019-02-28,2,Inactive
143033,2019-05-18,2019-07-13,2,Inactive
143206,2019-06-12,2019-06-12,1,Inactive
143278,2016-02-24,2016-02-24,1,Inactive
143585,2019-12-10,2019-12-10,1,Inactive
143972,2017-12-21,2019-01-04,2,Inactive
144080,2017-07-06,2019-01-18,4,Inactive
144273,2018-06-23,2018-06-23,1,Inactive
144330,2018-12-20,2019-03-14,2,Inactive
145085,2018-09-12,2018-09-12,1,Inactive
145258,2020-02-28,2020-02-28,1,Inactive
145342,2016-12-31,2016-12-31,1,Inactive
146194,2017-01-28,2018-08-17,2,Inactive
146534,2018-02-14,2018-02-14,1,Inactive
147228,2019-01-08,2020-05-16,4,Inactive
147312,2017-01-10,2020-02-18,3,Inactive
147341,2020-05-30,2020-05-30,1,Inactive
147413,2016-12-19,2018-12-21,2,Inactive
148348,2018-09-20,2018-09-20,1,Inactive
148716,2017-03-09,2019-02-25,3,Inactive
149123,2020-03-11,2020-03-11,1,Inactive
149353,2017-02-17,2017-02-17,1,Inactive
149478,2019-08-15,2019-08-15,1,Inactive
149733,2018-06-07,2018-12-11,2,Inactive
149955,2018-09-12,2020-03-11,2,Inactive
150762,2017-02-08,2017-02-08,1,Inactive
150770,2020-01-15,2020-01-15,1,Inactive
151044,2019-01-03,2019-01-03,1,Inactive
151076,2017-06-03,2017-06-03,1,Inactive
151318,2018-01-25,2019-11-16,2,Inactive
